Gasage (yr BP),CO2 (ppmv)
57843.72470000001,223.71829246142204
58217.01230000002,224.35339767076476
58433.319999999985,223.14855036746204
59105.06914999999,231.29357613421678
59380.40500000001,226.35329184425117
59733.46935,223.45481611599993
60109.88306666667,216.66068075629482
60373.05923333333,212.87091028761074
60516.6315,217.25313232793502
60817.61723333333,213.77895408048403
61060.877466666665,207.954258455404
61234.84403333334,210.56770709704924
61554.1108,210.90340290966515
61900.7233,206.3768851547348
62552.00602222222,202.5567478249938
62774.57333333335,202.7086782342372
62960.89566666668,200.14813320360096
63555.792666666675,197.40343593339372
63896.87993333334,197.24236643525396
64113.77896666667,199.7280299125443
64657.29413333334,203.69546669849038
64867.4226,201.67027938028278
65046.72066666667,199.17080568979725
65546.44649999999,208.9757824141881
65764.51269999999,198.17360428453378
65937.23266666668,200.59108353507256
66439.3055,204.3859977224767
66959.71066666667,207.20522458616006
67314.5875,201.14189964947187
67729.6785,203.758804582249
68146.18849999999,200.17043811242027
68619.99346666667,203.42547248921588
69081.5285,205.42035908699594
69592.01713333334,211.2583877926514
70052.1648,215.55081317503786
70427.26266666668,220.32661122546068
70928.87216666664,225.17215906542418
71279.16903333334,235.01577011604033
71693.65023333335,237.5634446299485
72092.81486666668,239.45635365708617
72490.14999999998,232.79086554237838
72866.04366666666,232.33476105332247
73219.31633333334,230.89095840633553
73750.95566666668,232.73507960739272
74221.48233333335,231.3339802376306
74525.645,241.2403946279206
75067.95149999997,243.27000593612678
75545.13366666668,249.52367746086176
75850.65049999999,249.93957236494836
76247.47216666667,239.34140543854346
76696.73599999998,238.01317290414426
77056.4805,231.68344444807624
77615.91499999998,224.91795384960736
78080.753,226.64717080896844
78507.94999999998,224.1427524434798
78969.54013333334,227.2993454606292
79410.36299999998,229.25533496544978
79877.75800000002,234.74268285165846
80330.36249999997,230.60058478694174
80721.78550000001,233.92301778529907
81206.94249999998,230.32953997112173
81711.43100000001,234.13416436720672
82068.79049999997,238.88896579028287
82526.7192,240.87295493897983
82988.26099999998,246.32246412221588
83554.11216666667,247.1003682352176
